1(String),2(String),3(String),4(String),6(Int),7(Int),8(Int),9(Int),10(Int),11(Int)
d1bqk__,1bqk,,b.6.1.1,48724,49502,49503,49504,49522,49525
d1zia__,1zia,,b.6.1.1,48724,49502,49503,49504,49522,49525
d1bqr__,1bqr,,b.6.1.1,48724,49502,49503,49504,49522,49525
d1zib__,1zib,,b.6.1.1,48724,49502,49503,49504,49522,49525
d1adwa_,1adw,A:,b.6.1.1,48724,49502,49503,49504,49522,49526
d1adwb_,1adw,B:,b.6.1.1,48724,49502,49503,49504,49522,49526
d2cbp__,2cbp,,b.6.1.1,48724,49502,49503,49504,49527,49528
d1f56a_,1f56,A:,b.6.1.1,48724,49502,49503,49504,49527,49529
d1f56b_,1f56,B:,b.6.1.1,48724,49502,49503,49504,49527,49529
d1f56c_,1f56,C:,b.6.1.1,48724,49502,49503,49504,49527,49529
d2azaa_,2aza,A:,b.6.1.1,48724,49502,49503,49504,49530,49531
d2azab_,2aza,B:,b.6.1.1,48724,49502,49503,49504,49530,49531
d1azca_,1azc,A:,b.6.1.1,48724,49502,49503,49504,49530,49531
d1azcb_,1azc,B:,b.6.1.1,48724,49502,49503,49504,49530,49531
d1aiza_,1aiz,A:,b.6.1.1,48724,49502,49503,49504,49530,49531
d1aizb_,1aiz,B:,b.6.1.1,48724,49502,49503,49504,49530,49531
d1uria_,1uri,A:,b.6.1.1,48724,49502,49503,49504,49530,49531
d1urib_,1uri,B:,b.6.1.1,48724,49502,49503,49504,49530,49531
d1a4ba_,1a4b,A:,b.6.1.1,48724,49502,49503,49504,49530,49531
d1a4bb_,1a4b,B:,b.6.1.1,48724,49502,49503,49504,49530,49531
d1a4aa_,1a4a,A:,b.6.1.1,48724,49502,49503,49504,49530,49531
d1a4ab_,1a4a,B:,b.6.1.1,48724,49502,49503,49504,49530,49531
d1azba_,1azb,A:,b.6.1.1,48724,49502,49503,49504,49530,49531
d1azbb_,1azb,B:,b.6.1.1,48724,49502,49503,49504,49530,49531
d1a4ca_,1a4c,A:,b.6.1.1,48724,49502,49503,49504,49530,49531
d1a4cb_,1a4c,B:,b.6.1.1,48724,49502,49503,49504,49530,49531
d1a4cc_,1a4c,C:,b.6.1.1,48724,49502,49503,49504,49530,49531
d1a4cd_,1a4c,D:,b.6.1.1,48724,49502,49503,49504,49530,49531
d1dyza_,1dyz,A:,b.6.1.1,48724,49502,49503,49504,49530,49532
d1dz0a_,1dz0,A:,b.6.1.1,48724,49502,49503,49504,49530,49532
d1rkra_,1rkr,A:,b.6.1.1,48724,49502,49503,49504,49530,49532
d1rkrb_,1rkr,B:,b.6.1.1,48724,49502,49503,49504,49530,49532
d1rkrc_,1rkr,C:,b.6.1.1,48724,49502,49503,49504,49530,49532
d1rkrd_,1rkr,D:,b.6.1.1,48724,49502,49503,49504,49530,49532
d1jzga_,1jzg,A:,b.6.1.1,48724,49502,49503,49504,49530,49533
d1jzfa_,1jzf,A:,b.6.1.1,48724,49502,49503,49504,49530,49533
d1gr7a_,1gr7,A:,b.6.1.1,48724,49502,49503,49504,49530,49533
d1gr7b_,1gr7,B:,b.6.1.1,48724,49502,49503,49504,49530,49533
d1gr7c_,1gr7,C:,b.6.1.1,48724,49502,49503,49504,49530,49533
d1gr7d_,1gr7,D:,b.6.1.1,48724,49502,49503,49504,49530,49533
d1jzia_,1jzi,A:,b.6.1.1,48724,49502,49503,49504,49530,49533
d1jzib_,1jzi,B:,b.6.1.1,48724,49502,49503,49504,49530,49533
d1jzea_,1jze,A:,b.6.1.1,48724,49502,49503,49504,49530,49533
d2azua_,2azu,A:,b.6.1.1,48724,49502,49503,49504,49530,49533
d2azub_,2azu,B:,b.6.1.1,48724,49502,49503,49504,49530,49533
d2azuc_,2azu,C:,b.6.1.1,48724,49502,49503,49504,49530,49533
d2azud_,2azu,D:,b.6.1.1,48724,49502,49503,49504,49530,49533
d1e65a_,1e65,A:,b.6.1.1,48724,49502,49503,49504,49530,49533
d1e65b_,1e65,B:,b.6.1.1,48724,49502,49503,49504,49530,49533
d1e65c_,1e65,C:,b.6.1.1,48724,49502,49503,49504,49530,49533
d1e65d_,1e65,D:,b.6.1.1,48724,49502,49503,49504,49530,49533
d1vlxa_,1vlx,A:,b.6.1.1,48724,49502,49503,49504,49530,49533
d1vlxb_,1vlx,B:,b.6.1.1,48724,49502,49503,49504,49530,49533
d1k76a_,1k76,A:,b.34.2.1,48724,50036,50044,50045,50070,50073
d1kfza_,1kfz,A:,b.34.2.1,48724,50036,50044,50045,50070,50073
d1utia_,1uti,A:,b.34.2.1,48724,50036,50044,50045,89293,89294
d1oeba_,1oeb,A:,b.34.2.1,48724,50036,50044,50045,89293,89294
d1oebb_,1oeb,B:,b.34.2.1,48724,50036,50044,50045,89293,89294
d1h3ha_,1h3h,A:,b.34.2.1,48724,50036,50044,50045,89293,89294
d1hsq__,1hsq,,b.34.2.1,48724,50036,50044,50045,50074,50075
d2hsp__,2hsp,,b.34.2.1,48724,50036,50044,50045,50074,50075
d1lcka1,1lck,A:63-116,b.34.2.1,48724,50036,50044,50045,50076,50077
d1h92a_,1h92,A:,b.34.2.1,48724,50036,50044,50045,50076,50077
d1kika_,1kik,A:,b.34.2.1,48724,50036,50044,50045,50076,50077
d1ycsb2,1ycs,B:457-519,b.34.2.1,48724,50036,50044,50045,50078,50079
d1bb9__,1bb9,,b.34.2.1,48724,50036,50044,50045,50080,50081
d1mv0b_,1mv0,B:,b.34.2.1,48724,50036,50044,50045,50080,50081
d1muza_,1muz,A:,b.34.2.1,48724,50036,50044,50045,50080,50081
d1mv3a1,1mv3,A:402-482,b.34.2.1,48724,50036,50044,50045,50080,50081
d1i07a_,1i07,A:,b.34.2.1,48724,50036,50044,50045,50082,50083
d1i07b_,1i07,B:,b.34.2.1,48724,50036,50044,50045,50082,50083
d1i0ca_,1i0c,A:,b.34.2.1,48724,50036,50044,50045,50082,50083
d1i0cb_,1i0c,B:,b.34.2.1,48724,50036,50044,50045,50082,50083
d1aoja_,1aoj,A:,b.34.2.1,48724,50036,50044,50045,50082,50083
d1aojb_,1aoj,B:,b.34.2.1,48724,50036,50044,50045,50082,50083
d1gcqc_,1gcq,C:,b.34.2.1,48724,50036,50044,50045,63744,63745
d1gcpa_,1gcp,A:,b.34.2.1,48724,50036,50044,50045,63744,63745
d1gcpb_,1gcp,B:,b.34.2.1,48724,50036,50044,50045,63744,63745
d1gcpc_,1gcp,C:,b.34.2.1,48724,50036,50044,50045,63744,63745
d1gcpd_,1gcp,D:,b.34.2.1,48724,50036,50044,50045,63744,63745
d1k1za_,1k1z,A:,b.34.2.1,48724,50036,50044,50045,63744,63745
d1i1ja_,1i1j,A:,b.34.2.1,48724,50036,50044,50045,63746,63747
d1i1jb_,1i1j,B:,b.34.2.1,48724,50036,50044,50045,63746,63747
d1k0xa_,1k0x,A:,b.34.2.1,48724,50036,50044,50045,63746,63747
d1hjda_,1hjd,A:,b.34.2.1,48724,50036,50044,50045,63746,63747
d1kjwa1,1kjw,A:430-525,b.34.2.1,48724,50036,50044,50045,69248,69249
d1jxma1,1jxm,A:430-525,b.34.2.1,48724,50036,50044,50045,69248,69249
d1jxoa1,1jxo,A:430-525,b.34.2.1,48724,50036,50044,50045,69248,69249
d1jxob1,1jxo,B:430-525,b.34.2.1,48724,50036,50044,50045,69248,69249
d1jo8a_,1jo8,A:,b.34.2.1,48724,50036,50044,50045,74920,74921
d1ng2a1,1ng2,A:157-214,b.34.2.1,48724,50036,50044,50045,89295,89296
d1ng2a2,1ng2,A:215-332,b.34.2.1,48724,50036,50044,50045,89295,89296
d1ueca1,1uec,A:157-214,b.34.2.1,48724,50036,50044,50045,89295,89296
d1ueca2,1uec,A:215-336,b.34.2.1,48724,50036,50044,50045,89295,89296
d1ov3a1,1ov3,A:150-214,b.34.2.1,48724,50036,50044,50045,89295,89296
d1ov3a2,1ov3,A:215-283,b.34.2.1,48724,50036,50044,50045,89295,89296
d1ov3b1,1ov3,B:152-214,b.34.2.1,48724,50036,50044,50045,89295,89296
d1ov3b2,1ov3,B:215-283,b.34.2.1,48724,50036,50044,50045,89295,89296
d1k4us_,1k4u,S:,b.34.2.1,48724,50036,50044,50045,74922,74923
d1jqqa_,1jqq,A:,b.34.2.1,48724,50036,50044,50045,82055,82056
d1jqqb_,1jqq,B:,b.34.2.1,48724,50036,50044,50045,82055,82056
d1jqqc_,1jqq,C:,b.34.2.1,48724,50036,50044,50045,82055,82056
d1jqqd_,1jqq,D:,b.34.2.1,48724,50036,50044,50045,82055,82056
d1n5za_,1n5z,A:,b.34.2.1,48724,50036,50044,50045,82055,82056
d1n5zb_,1n5z,B:,b.34.2.1,48724,50036,50044,50045,82055,82056
d1nm7a_,1nm7,A:,b.34.2.1,48724,50036,50044,50045,82055,82056
d1uhfa_,1uhf,A:,b.34.2.1,48724,50036,50044,50045,101669,101670
d1j3ta_,1j3t,A:,b.34.2.1,48724,50036,50044,50045,101669,101670
d1uffa_,1uff,A:,b.34.2.1,48724,50036,50044,50045,101669,101670
d1udla_,1udl,A:,b.34.2.1,48724,50036,50044,50045,101669,101670
d1ue9a_,1ue9,A:,b.34.2.1,48724,50036,50044,50045,101669,101670
d1uhca_,1uhc,A:,b.34.2.1,48724,50036,50044,50045,101671,101672
d1ug1a_,1ug1,A:,b.34.2.1,48724,50036,50044,50045,101671,101672
d1ugva_,1ugv,A:,b.34.2.1,48724,50036,50044,50045,101673,101674
d1uj0a_,1uj0,A:,b.34.2.1,48724,50036,50044,50045,101675,101676
d1ujya_,1ujy,A:,b.34.2.1,48724,50036,50044,50045,101677,101678
d1oota_,1oot,A:,b.34.2.1,48724,50036,50044,50045,101679,101680
d1ri9a_,1ri9,A:,b.34.2.1,48724,50036,50044,50045,101681,101682
d1t0ha_,1t0h,A:,b.34.2.1,48724,50036,50044,50045,110158,110159
d1t0ja_,1t0j,A:,b.34.2.1,48724,50036,50044,50045,110158,110159
d1t3la1,1t3l,A:35-141,b.34.2.1,48724,50036,50044,50045,110158,110159
d1t3sa1,1t3s,A:35-141,b.34.2.1,48724,50036,50044,50045,110158,110159
d1vyua1,1vyu,A:39-174,b.34.2.1,48724,50036,50044,50045,110158,110160
d1vyub1,1vyu,B:38-174,b.34.2.1,48724,50036,50044,50045,110158,110160
d1vyta1,1vyt,A:38-174,b.34.2.1,48724,50036,50044,50045,110158,110160
d1vytb1,1vyt,B:38-174,b.34.2.1,48724,50036,50044,50045,110158,110160
d1vyva1,1vyv,A:71-215,b.34.2.1,48724,50036,50044,50045,110158,110160
d1vyvb1,1vyv,B:71-215,b.34.2.1,48724,50036,50044,50045,110158,110160
d1spka_,1spk,A:,b.34.2.1,48724,50036,50044,50045,110161,110162
d1m9sa2,1m9s,A:391-465,b.34.11.1,48724,50036,82057,82058,82059,82060
d1m9sa3,1m9s,A:466-551,b.34.11.1,48724,50036,82057,82058,82059,82060
d1m9sa4,1m9s,A:552-629,b.34.11.1,48724,50036,82057,82058,82059,82060
d2mysa1,2mys,A:34-79,b.34.3.1,48724,50036,50084,50085,50086,50087
d1br2a1,1br2,A:34-79,b.34.3.1,48724,50036,50084,50085,50086,50087
d1br2b1,1br2,B:34-79,b.34.3.1,48724,50036,50084,50085,50086,50087
d1br2c1,1br2,C:34-79,b.34.3.1,48724,50036,50084,50085,50086,50087
d1br2d1,1br2,D:34-79,b.34.3.1,48724,50036,50084,50085,50086,50087
d1br2e1,1br2,E:34-79,b.34.3.1,48724,50036,50084,50085,50086,50087
d1br2f1,1br2,F:34-79,b.34.3.1,48724,50036,50084,50085,50086,50087
d1br1a1,1br1,A:34-79,b.34.3.1,48724,50036,50084,50085,50086,50087
d1br1c1,1br1,C:34-79,b.34.3.1,48724,50036,50084,50085,50086,50087
d1br1e1,1br1,E:34-79,b.34.3.1,48724,50036,50084,50085,50086,50087
d1rl2b1,1rl2,B:126-196,b.34.5.3,48724,50036,50104,50114,50115,50116
d1jj2a1,1jj2,A:91-237,b.34.5.3,48724,50036,50104,50114,50115,50117
d1m90c1,1m90,C:91-237,b.34.5.3,48724,50036,50104,50114,50115,50117
d1s72a1,1s72,A:91-237,b.34.5.3,48724,50036,50104,50114,50115,50117
d1njic1,1nji,C:91-237,b.34.5.3,48724,50036,50104,50114,50115,50117
d1ffka1,1ffk,A:91-237,b.34.5.3,48724,50036,50104,50114,50115,50117
d1q81c1,1q81,C:91-237,b.34.5.3,48724,50036,50104,50114,50115,50117
d1q82c1,1q82,C:91-237,b.34.5.3,48724,50036,50104,50114,50115,50117
d1kc8c1,1kc8,C:91-237,b.34.5.3,48724,50036,50104,50114,50115,50117
d1qvfa1,1qvf,A:91-237,b.34.5.3,48724,50036,50104,50114,50115,50117
d1k9mc1,1k9m,C:91-237,b.34.5.3,48724,50036,50104,50114,50115,50117
d1kd1c1,1kd1,C:91-237,b.34.5.3,48724,50036,50104,50114,50115,50117
d1k8ac1,1k8a,C:91-237,b.34.5.3,48724,50036,50104,50114,50115,50117
d1kqsa1,1kqs,A:91-237,b.34.5.3,48724,50036,50104,50114,50115,50117
d1q7yc1,1q7y,C:91-237,b.34.5.3,48724,50036,50104,50114,50115,50117
d1qvga1,1qvg,A:91-237,b.34.5.3,48724,50036,50104,50114,50115,50117
d1n8rc1,1n8r,C:91-237,b.34.5.3,48724,50036,50104,50114,50115,50117
d1k73c1,1k73,C:91-237,b.34.5.3,48724,50036,50104,50114,50115,50117
d1q86c1,1q86,C:91-237,b.34.5.3,48724,50036,50104,50114,50115,50117
d1m1kc1,1m1k,C:91-237,b.34.5.3,48724,50036,50104,50114,50115,50117
d1nppa2,1npp,A:191-248,b.34.5.4,48724,50036,50104,82072,82073,82074
d1nppb2,1npp,B:191-248,b.34.5.4,48724,50036,50104,82072,82073,82074
d1nppc2,1npp,C:191-247,b.34.5.4,48724,50036,50104,82072,82073,82074
d1nppd2,1npp,D:191-245,b.34.5.4,48724,50036,50104,82072,82073,82074
d1npra2,1npr,A:191-248,b.34.5.4,48724,50036,50104,82072,82073,82074
d1m1ga2,1m1g,A:191-248,b.34.5.4,48724,50036,50104,82072,82073,82074
d1m1gb2,1m1g,B:191-248,b.34.5.4,48724,50036,50104,82072,82073,82074
d1m1gc2,1m1g,C:191-248,b.34.5.4,48724,50036,50104,82072,82073,82074
d1m1gd2,1m1g,D:191-248,b.34.5.4,48724,50036,50104,82072,82073,82074
d1nz9a_,1nz9,A:,b.34.5.4,48724,50036,50104,82072,82073,101696
d3vub__,3vub,,b.34.6.1,48724,50036,50118,50119,50120,50121
d4vub__,4vub,,b.34.6.1,48724,50036,50118,50119,50120,50121
d2vuba_,2vub,A:,b.34.6.1,48724,50036,50118,50119,50120,50121
d2vubb_,2vub,B:,b.34.6.1,48724,50036,50118,50119,50120,50121
d2vubc_,2vub,C:,b.34.6.1,48724,50036,50118,50119,50120,50121
d2vubd_,2vub,D:,b.34.6.1,48724,50036,50118,50119,50120,50121
d2vube_,2vub,E:,b.34.6.1,48724,50036,50118,50119,50120,50121
d2vubf_,2vub,F:,b.34.6.1,48724,50036,50118,50119,50120,50121
d2vubg_,2vub,G:,b.34.6.1,48724,50036,50118,50119,50120,50121
d2vubh_,2vub,H:,b.34.6.1,48724,50036,50118,50119,50120,50121
d1vuba_,1vub,A:,b.34.6.1,48724,50036,50118,50119,50120,50121
d1vubb_,1vub,B:,b.34.6.1,48724,50036,50118,50119,50120,50121
d1vubc_,1vub,C:,b.34.6.1,48724,50036,50118,50119,50120,50121
d1vubd_,1vub,D:,b.34.6.1,48724,50036,50118,50119,50120,50121
d1m1fa_,1m1f,A:,b.34.6.2,48724,50036,50118,82075,82076,82077
d1m1fb_,1m1f,B:,b.34.6.2,48724,50036,50118,82075,82076,82077
d1ub4a_,1ub4,A:,b.34.6.2,48724,50036,50118,82075,89303,89304
d1ub4b_,1ub4,B:,b.34.6.2,48724,50036,50118,82075,89303,89304
d1ne8a_,1ne8,A:,b.34.6.2,48724,50036,50118,82075,82078,82079
d1hyoa1,1hyo,A:1-118,b.34.8.1,48724,50036,63433,63434,63435,63436
d1hyob1,1hyo,B:499-618,b.34.8.1,48724,50036,63433,63434,63435,63436
d1qqja1,1qqj,A:1-118,b.34.8.1,48724,50036,63433,63434,63435,63436
d1qqjb1,1qqj,B:1-118,b.34.8.1,48724,50036,63433,63434,63435,63436
d1qcna1,1qcn,A:1-118,b.34.8.1,48724,50036,63433,63434,63435,63436
d1qcnb1,1qcn,B:499-618,b.34.8.1,48724,50036,63433,63434,63435,63436
d1qcoa1,1qco,A:1-118,b.34.8.1,48724,50036,63433,63434,63435,63436
d1qcob1,1qco,B:499-618,b.34.8.1,48724,50036,63433,63434,63435,63436
d1ex4a1,1ex4,A:223-270,b.34.7.1,48724,50036,50122,50123,50124,50125
d1ex4b1,1ex4,B:223-270,b.34.7.1,48724,50036,50122,50123,50124,50125
d1ihva_,1ihv,A:,b.34.7.1,48724,50036,50122,50123,50124,50125
d1ihvb_,1ihv,B:,b.34.7.1,48724,50036,50122,50123,50124,50125
d1ihwa_,1ihw,A:,b.34.7.1,48724,50036,50122,50123,50124,50125
d1ihwb_,1ihw,B:,b.34.7.1,48724,50036,50122,50123,50124,50125
d1qmca_,1qmc,A:,b.34.7.1,48724,50036,50122,50123,50124,50125
d1qmcb_,1qmc,B:,b.34.7.1,48724,50036,50122,50123,50124,50125
d1c0ma1,1c0m,A:217-269,b.34.7.1,48724,50036,50122,50123,50124,50126
d1c0mb1,1c0m,B:217-269,b.34.7.1,48724,50036,50122,50123,50124,50126
d1c0mc1,1c0m,C:217-270,b.34.7.1,48724,50036,50122,50123,50124,50126
d1c0md1,1c0m,D:217-269,b.34.7.1,48724,50036,50122,50123,50124,50126
d1c1aa1,1c1a,A:217-272,b.34.7.1,48724,50036,50122,50123,50124,50126
d1c1ab1,1c1a,B:217-268,b.34.7.1,48724,50036,50122,50123,50124,50126
d1c6vx_,1c6v,X:,b.34.7.1,48724,50036,50122,50123,50124,50127
d1sf9a_,1sf9,A:,b.34.15.1,48724,50036,101697,101698,101699,101700
d1pcqo_,1pcq,O:,b.35.1.1,48724,50128,50129,50130,50131,50132
d1pcqp_,1pcq,P:,b.35.1.1,48724,50128,50129,50130,50131,50132
d1pcqq_,1pcq,Q:,b.35.1.1,48724,50128,50129,50130,50131,50132
d1pcqr_,1pcq,R:,b.35.1.1,48724,50128,50129,50130,50131,50132
d1pcqs_,1pcq,S:,b.35.1.1,48724,50128,50129,50130,50131,50132
d1pcqt_,1pcq,T:,b.35.1.1,48724,50128,50129,50130,50131,50132
d1pcqu_,1pcq,U:,b.35.1.1,48724,50128,50129,50130,50131,50132
d1aono_,1aon,O:,b.35.1.1,48724,50128,50129,50130,50131,50132
d1aonp_,1aon,P:,b.35.1.1,48724,50128,50129,50130,50131,50132
d1aonq_,1aon,Q:,b.35.1.1,48724,50128,50129,50130,50131,50132
d1aonr_,1aon,R:,b.35.1.1,48724,50128,50129,50130,50131,50132
d1aons_,1aon,S:,b.35.1.1,48724,50128,50129,50130,50131,50132
d1aont_,1aon,T:,b.35.1.1,48724,50128,50129,50130,50131,50132
d1aonu_,1aon,U:,b.35.1.1,48724,50128,50129,50130,50131,50132
d1pf9o_,1pf9,O:,b.35.1.1,48724,50128,50129,50130,50131,50132
d1qmua1,1qmu,A:305-383,b.3.2.1,48724,49451,49464,49465,49466,49467
d1cpm__,1cpm,,b.29.1.2,48724,49898,49899,49925,49926,49929
d1ajoa_,1ajo,A:,b.29.1.2,48724,49898,49899,49925,49926,49929
d1ajob_,1ajo,B:,b.29.1.2,48724,49898,49899,49925,49926,49929
d1axka1,1axk,"A:1-156,A:342-393",b.29.1.2,48724,49898,49899,49925,49926,49929
d1axkb1,1axk,"B:1-156,B:342-394",b.29.1.2,48724,49898,49899,49925,49926,49929
d1mvea_,1mve,A:,b.29.1.2,48724,49898,49899,49925,49926,89270
d1dypa_,1dyp,A:,b.29.1.2,48724,49898,49899,49925,49930,49931
d1umza_,1umz,A:,b.29.1.2,48724,49898,49899,49925,101634,101635
d1umzb_,1umz,B:,b.29.1.2,48724,49898,49899,49925,101634,101635
d1un1a_,1un1,A:,b.29.1.2,48724,49898,49899,49925,101634,101635
d1un1b_,1un1,B:,b.29.1.2,48724,49898,49899,49925,101634,101635
d1o4ya_,1o4y,A:,b.29.1.2,48724,49898,49899,49925,101636,101637
d1urxa_,1urx,A:,b.29.1.2,48724,49898,49899,49925,101636,101637
d1o4za_,1o4z,A:,b.29.1.2,48724,49898,49899,49925,101636,101637
d1o4zb_,1o4z,B:,b.29.1.2,48724,49898,49899,49925,101636,101637
d1o4zc_,1o4z,C:,b.29.1.2,48724,49898,49899,49925,101636,101637
d1o4zd_,1o4z,D:,b.29.1.2,48724,49898,49899,49925,101636,101637
d1slta_,1slt,A:,b.29.1.3,48724,49898,49899,49932,100925,49934
d1sltb_,1slt,B:,b.29.1.3,48724,49898,49899,49932,100925,49934
d1slca_,1slc,A:,b.29.1.3,48724,49898,49899,49932,100925,49934
d1slcb_,1slc,B:,b.29.1.3,48724,49898,49899,49932,100925,49934
d1slcc_,1slc,C:,b.29.1.3,48724,49898,49899,49932,100925,49934
d1slcd_,1slc,D:,b.29.1.3,48724,49898,49899,49932,100925,49934
d1slba_,1slb,A:,b.29.1.3,48724,49898,49899,49932,100925,49934
d1slbb_,1slb,B:,b.29.1.3,48724,49898,49899,49932,100925,49934
d1slbc_,1slb,C:,b.29.1.3,48724,49898,49899,49932,100925,49934
d1slbd_,1slb,D:,b.29.1.3,48724,49898,49899,49932,100925,49934
d1slaa_,1sla,A:,b.29.1.3,48724,49898,49899,49932,100925,49934
d1slab_,1sla,B:,b.29.1.3,48724,49898,49899,49932,100925,49934
d1gzwa_,1gzw,A:,b.29.1.3,48724,49898,49899,49932,100925,101638
d1gzwb_,1gzw,B:,b.29.1.3,48724,49898,49899,49932,100925,101638
d1qmja_,1qmj,A:,b.29.1.3,48724,49898,49899,49932,100925,49936
d1qmjb_,1qmj,B:,b.29.1.3,48724,49898,49899,49932,100925,49936
d1a78a_,1a78,A:,b.29.1.3,48724,49898,49899,49932,100925,49937
d1a78b_,1a78,B:,b.29.1.3,48724,49898,49899,49932,100925,49937
d1gana_,1gan,A:,b.29.1.3,48724,49898,49899,49932,100925,49937
d1ganb_,1gan,B:,b.29.1.3,48724,49898,49899,49932,100925,49937
d2gala_,2gal,A:,b.29.1.3,48724,49898,49899,49932,100926,49935
d2galb_,2gal,B:,b.29.1.3,48724,49898,49899,49932,100926,49935
d3gala_,3gal,A:,b.29.1.3,48724,49898,49899,49932,100926,49935
d3galb_,3gal,B:,b.29.1.3,48724,49898,49899,49932,100926,49935
d1bkza_,1bkz,A:,b.29.1.3,48724,49898,49899,49932,100926,49935
d1bkzb_,1bkz,B:,b.29.1.3,48724,49898,49899,49932,100926,49935
d5gala_,5gal,A:,b.29.1.3,48724,49898,49899,49932,100926,49935
d5galb_,5gal,B:,b.29.1.3,48724,49898,49899,49932,100926,49935
d4gala_,4gal,A:,b.29.1.3,48724,49898,49899,49932,100926,49935
d4galb_,4gal,B:,b.29.1.3,48724,49898,49899,49932,100926,49935
d1hlca_,1hlc,A:,b.29.1.3,48724,49898,49899,49932,100927,100928
d1hlcb_,1hlc,B:,b.29.1.3,48724,49898,49899,49932,100927,100928
d1g86a_,1g86,A:,b.29.1.3,48724,49898,49899,49932,49938,49939
d1lcl__,1lcl,,b.29.1.3,48724,49898,49899,49932,49938,49939
d1hdka_,1hdk,A:,b.29.1.3,48724,49898,49899,49932,49938,49939
d1qkqa_,1qkq,A:,b.29.1.3,48724,49898,49899,49932,49938,49939
d1ulea_,1ule,A:,b.29.1.3,48724,49898,49899,49932,101639,101640
d1uleb_,1ule,B:,b.29.1.3,48724,49898,49899,49932,101639,101640
d1ulda_,1uld,A:,b.29.1.3,48724,49898,49899,49932,101639,101640
d1uldb_,1uld,B:,b.29.1.3,48724,49898,49899,49932,101639,101640
d1uldc_,1uld,C:,b.29.1.3,48724,49898,49899,49932,101639,101640
d1uldd_,1uld,D:,b.29.1.3,48724,49898,49899,49932,101639,101640
d1ul9a_,1ul9,A:,b.29.1.3,48724,49898,49899,49932,101639,101640
d1ul9b_,1ul9,B:,b.29.1.3,48724,49898,49899,49932,101639,101640
d1ulga_,1ulg,A:,b.29.1.3,48724,49898,49899,49932,101639,101640
d1ulgb_,1ulg,B:,b.29.1.3,48724,49898,49899,49932,101639,101640
d1ulgc_,1ulg,C:,b.29.1.3,48724,49898,49899,49932,101639,101640
d1ulgd_,1ulg,D:,b.29.1.3,48724,49898,49899,49932,101639,101640
d1ulfa_,1ulf,A:,b.29.1.3,48724,49898,49899,49932,101639,101640
d1ulfb_,1ulf,B:,b.29.1.3,48724,49898,49899,49932,101639,101640
d1ulca_,1ulc,A:,b.29.1.3,48724,49898,49899,49932,101639,101640
d1ulcb_,1ulc,B:,b.29.1.3,48724,49898,49899,49932,101639,101640
d1a3k__,1a3k,,b.29.1.3,48724,49898,49899,49932,49940,49941
d1c1la_,1c1l,A:,b.29.1.3,48724,49898,49899,49932,49942,49943
d1c1fa_,1c1f,A:,b.29.1.3,48724,49898,49899,49932,49942,49943
d1is3a_,1is3,A:,b.29.1.3,48724,49898,49899,49932,82034,82035
d1is6a_,1is6,A:,b.29.1.3,48724,49898,49899,49932,82034,82035
d1is4a_,1is4,A:,b.29.1.3,48724,49898,49899,49932,82034,82035
d1is5a_,1is5,A:,b.29.1.3,48724,49898,49899,49932,82034,82035
d1d2sa_,1d2s,A:,b.29.1.4,48724,49898,49899,49944,49945,49946
d1f5fa_,1f5f,A:,b.29.1.4,48724,49898,49899,49944,49945,49946
d1kdka_,1kdk,A:,b.29.1.4,48724,49898,49899,49944,49945,49946
d1lhwa_,1lhw,A:,b.29.1.4,48724,49898,49899,49944,49945,49946
d1lhua_,1lhu,A:,b.29.1.4,48724,49898,49899,49944,49945,49946
d1lhoa_,1lho,A:,b.29.1.4,48724,49898,49899,49944,49945,49946
d1lhna_,1lhn,A:,b.29.1.4,48724,49898,49899,49944,49945,49946
d1lhva_,1lhv,A:,b.29.1.4,48724,49898,49899,49944,49945,49946
d1kdma_,1kdm,A:,b.29.1.4,48724,49898,49899,49944,49945,49946
d1okqa1,1okq,A:2744-2932,b.29.1.4,48724,49898,49899,49944,49947,49948
d1okqa2,1okq,A:2933-3117,b.29.1.4,48724,49898,49899,49944,49947,49948
d1dyka1,1dyk,A:2744-2932,b.29.1.4,48724,49898,49899,49944,49947,49948
d1dyka2,1dyk,A:2933-3117,b.29.1.4,48724,49898,49899,49944,49947,49948
d1qu0a_,1qu0,A:,b.29.1.4,48724,49898,49899,49944,49947,49948
d1qu0b_,1qu0,B:,b.29.1.4,48724,49898,49899,49944,49947,49948
d1ux2f_,1ux2,F:,b.96.1.1,48724,63711,63712,63713,63714,63715
d1ux2g_,1ux2,G:,b.96.1.1,48724,63711,63712,63713,63714,63715
d1ux2h_,1ux2,H:,b.96.1.1,48724,63711,63712,63713,63714,63715
d1ux2i_,1ux2,I:,b.96.1.1,48724,63711,63712,63713,63714,63715
d1ux2j_,1ux2,J:,b.96.1.1,48724,63711,63712,63713,63714,63715
d1uv6a_,1uv6,A:,b.96.1.1,48724,63711,63712,63713,63714,63715
d1uv6b_,1uv6,B:,b.96.1.1,48724,63711,63712,63713,63714,63715
d1uv6c_,1uv6,C:,b.96.1.1,48724,63711,63712,63713,63714,63715
d1uv6d_,1uv6,D:,b.96.1.1,48724,63711,63712,63713,63714,63715
d1uv6e_,1uv6,E:,b.96.1.1,48724,63711,63712,63713,63714,63715
d1uv6f_,1uv6,F:,b.96.1.1,48724,63711,63712,63713,63714,63715
d1uv6g_,1uv6,G:,b.96.1.1,48724,63711,63712,63713,63714,63715
